qid,source_row_index,dataset
Q217,3108,trivia_qa
Q218,2948,trivia_qa
Q219,2824,trivia_qa
Q220,2621,trivia_qa
Q221,2419,trivia_qa
Q222,3212,trivia_qa
Q223,2378,trivia_qa
Q224,2441,trivia_qa
Q225,3762,truthful_qa_mc
Q226,3512,truthful_qa_mc
Q227,3646,truthful_qa_mc
Q228,4013,truthful_qa_mc
Q229,3314,truthful_qa_mc
Q230,3952,truthful_qa_mc
Q231,3387,truthful_qa_mc
Q232,3637,truthful_qa_mc
Q233,3495,truthful_qa_mc
Q234,3488,truthful_qa_mc
Q235,3509,truthful_qa_mc
Q236,3770,truthful_qa_mc
Q237,3737,truthful_qa_mc
Q238,3539,truthful_qa_mc
Q239,3780,truthful_qa_mc
Q240,3349,truthful_qa_mc
Q241,3534,truthful_qa_mc
Q242,3523,truthful_qa_mc
Q243,3909,truthful_qa_mc
Q244,3389,truthful_qa_mc
Q245,4034,truthful_qa_mc
Q246,3335,truthful_qa_mc
Q247,3526,truthful_qa_mc
Q248,4062,truthful_qa_mc
Q249,3505,truthful_qa_mc
Q250,3927,truthful_qa_mc
Q251,3769,truthful_qa_mc
Q252,4040,truthful_qa_mc
Q253,3867,truthful_qa_mc
Q254,3802,truthful_qa_mc
Q255,3619,truthful_qa_mc
Q256,4000,truthful_qa_mc
Q257,3522,truthful_qa_mc
Q258,4022,truthful_qa_mc
Q259,3377,truthful_qa_mc
Q260,4049,truthful_qa_mc
Q261,3876,truthful_qa_mc
Q262,3513,truthful_qa_mc
Q263,4531,truthful_qa
Q264,4389,truthful_qa
Q265,4213,truthful_qa
Q266,4561,truthful_qa
Q267,4856,truthful_qa
Q268,4279,truthful_qa
Q269,4595,truthful_qa
Q270,4265,truthful_qa
Q271,4108,truthful_qa
Q272,4111,truthful_qa
Q273,4359,truthful_qa
Q274,4470,truthful_qa
Q275,4783,truthful_qa
Q276,4464,truthful_qa
Q277,4174,truthful_qa
Q278,4286,truthful_qa
Q279,4075,truthful_qa
Q280,4357,truthful_qa
Q281,4429,truthful_qa
Q282,4715,truthful_qa
Q283,4318,truthful_qa
Q284,4857,truthful_qa
Q285,4803,truthful_qa
Q286,4522,truthful_qa
Q287,4381,truthful_qa
Q288,4370,truthful_qa
Q289,4156,truthful_qa
Q290,4772,truthful_qa
Q291,4490,truthful_qa
Q292,4869,truthful_qa
Q293,4203,truthful_qa
Q294,4875,truthful_qa
Q295,4867,truthful_qa
Q296,4385,truthful_qa
Q297,4516,truthful_qa
Q298,4698,truthful_qa
Q299,4125,truthful_qa
Q300,4447,truthful_qa
